Organization Name: Organization Name,Request 18 Digit ID,Investment Proposal Name,Description,Due Date,Investment Proposal Record Type,Deliverable,Deliverable ID,ETEN Ivest June 30
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,Survey and gather data on China - verify and clarify AAG needs for over thirty sign languages there. Emphasize new methodologies to accelerate research.,2025-12-31,Organizational Development,B-000003201,a0xUq000000WFC1,0.0
Lutheran Bible Translators,006Uq0000093XbmIAE,Southern Africa Bible Translation Summit,Engage with country groups to make plans for local gatherings,2025-03-31,Organizational Development,B-000003289,a0xUq000000WKmn,7500.0
Pioneer Bible Translators,006Uq00000BAWhrIAH,PBT 2025 iN Undesignated Funding,,,,,,33910.63
SIL International,006Uq000008triDIAQ,Multilingualism Assessment Tool (MAT),Roll out support completed in at least four countries. End Q3,2025-09-30,Translation Tool,B-000003002,a0xUq000000VUjO,50000.0
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q1: Host an OCE Sync and the OCE Hackathon,2025-03-31,Translation Tool,B-000003091,a0xUq000000Vt0D,50000.0
Lutheran Bible Translators,006Uq00000BASMXIA5,LBT 2025 iN Undesignated Funding,,,,,,58405.78
"Deaf Bible Society, Inc.",006Uq00000BAb6PIAT,DBS 2025 iN Undesignated Funding,,,,,,65113.38
SIL International,006Uq000008rmbNIAQ,Augmented Quality Assessment (AQuA),"Have 175 translation projects using the AQuA by March 2025 Experiment and Develop Question-Answering assessment, add readability assessment to API, allow direct import of Paratext projects.",2025-03-31,Translation Tool,B-000002916,a0xUq000000VIYX,75000.0
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q1: Review 2024 Forum feedback and establish 2025 Project Plan.,2025-03-31,Quality Assurance,B-000003004,a0xUq000000VXfd,75000.0
Pioneer Bible Translators,006Uq00000BAY26IAH,2025 PBT - Translation,,,,,,88536.0
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal","Milestone 1: Signed Biblical Translation Resources (Multi-lingual) Due Date: Q1 Description: Integrated Biblical Resource Library for each sign language project. At micro-level it accelerates Biblical knowledge and improves comprehension quality. At the macro-level it catalyzes community engagement and spiritual growth. As a side effect, it creates foundational resources for training A.I. capabilities.",2025-03-31,Translation Tool,B-000003318,a0xUq000000WNG1,100000.0
"The Wycliffe Seed Company, Inc.",006Uq0000081c1pIAA,MLQAs for Accelerated Quality Assurance,44 of the 81 active MLQAs complete a customized growth plan and are actively serving in translation projects.,2025-12-31,Quality Assurance,B-000002848,a0xUq000000RIC9,100000.0
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 2a: Piloting of AVTT. With a view to roll out across BSO The South Pacific have languages with potential to pilot Oral Bible Translation OBT using AVTT tool: 1. Identify and train OBT Coordinator for BSO using AVTT Tool and to coordinate OBT pilot projects in the region. RIMS (pilot language to be determined),2025-09-30,Organizational Development,B-000003244,a0xUq000000WHVa,100000.0
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q1: Text-to-speech AI API Integration: AI Application Programming Interfaces (APIs) for automatically reading out text. This may be especially useful for some users to improve access to resource content in LWCs.,2025-03-31,Translation Tool,B-000003063,a0xUq000000VmRl,112500.0
"Deaf Bible Society, Inc.",006Uq0000093TYCIA2,"Global Sign Language Interpreter Workforce_Deaf Bible Society, Inc. Organizational Development Investment Proposals","Recruiting National Recruiting: Of the 43 Interpreters serving the IW in various capacities, we currently have 36 interpreters who are US-based, and plan to continue adding to that number. The IW will continue to provide opportunities for training specialized Interpreters to serve in the Bible Translation Movement. The new interpreters will have access to digital training videos from the inaugural Interpreter Workforce training, which was created and employed in 2022 with support from ETEN. In addition to that inaugural training, the interpreters will have access to digital training videos that were developed and deployed in 2024. International Recruiting: Add 10-15 international interpreters to the existing workforce. Currently, the IW has 17 (3 of whom live internationally) Interpreters out of 43 who can serve in various language capacities: International Sign, Russian Sign Language, Japanese Sign Language, Estonian Sign Language, Swedish Sign Language, Ukrainian Sign Language, and Lithuanian Sign Language. Intentionally recruiting in alignment with the highest remaining need of sign languages in waiting. The International interpreters will gain access to the same training as the above-mentioned.",2025-08-15,Organizational Development,B-000003306,a0xUq000000WLkT,125000.0
SIL International,006Uq000008rhbiIAA,Data Sharpening Initiative v.2,Clarify AAGs in Indonesia (review all languages on the translation not started list to determine which have goals met through L2) Plan for research project in Francophone Africa Engage in the data sharpening initiative v.2 (estimated 12 languages),2025-03-31,Quality Assurance,B-000002924,a0xUq000000VJpZ,125000.0
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q1: Training event 1: Convene and train 12-15 movement leaders from East Africa in Kenya (January),2025-03-31,Quality Assurance,B-000003012,a0xUq000000VYob,125000.0
SIL International,006Uq000008sJ97IAE,Rev. 79,"Achieve use of the Language Strategies page by 25 Collaborations including at least 100 Organizations, by March 2025.",2025-03-31,Translation Tool,B-000002941,a0xUq000000VLEf,150000.0
"The Wycliffe Seed Company, Inc.",006Uq000008wo6HIAQ,Systemic Organizational Development,Partner-Clients achieve 15% YOY growth in organizational fundraising.,2025-12-31,Organizational Development,B-000003195,a0xUq000000WBA1,150000.0
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Proxy Server Implementation: Objective: Set up a proxy server to support offline functionalities, using NAS or a local server. Benefits: This will allow users to reduce the use of internet bandwidth, reducing costs for both users and SLTT. It will also help increase performance as users can take advantage of local network connections to retrieve video content from a computer that has already downloaded cloud content.",2025-03-31,Translation Tool,B-000003222,a0xUq000000WGMb,150000.0
unfoldingWord,006Uq00000BEUuLIAX,unfoldingWord 2025 iN Undesignated Funding,,,,,,151094.83
Lutheran Bible Translators,006Uq00000BAZEJIA5,2025 LBT - Translation,,,,,,152785.98
"Deaf Bible Society, Inc.",006Uq00000BAXR0IAP,2025 DBS - Translation,,,,,,170344.02
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q1: Bible Translation into the heart language of the Muong will move forward with the translation of resources for the Old Testament (OT) books of Deuteronomy and Leviticus.,2025-03-31,Quality Assurance,B-000003045,a0xUq000000Vc4D,200000.0
The Word for the World,006Uq00000BASZPIA5,TWFTW 2025 iN Undesignated Funding,,,,,,205525.74
SIL International,006Uq000008sIbFIAU,Progress Bible,Better data service to the OBT movement. CY2025-Q1.,2025-03-31,Translation Tool,B-000002937,a0xUq000000VL8D,250000.0
Wycliffe USA,006Uq0000095PBtIAM,Whole Word Institute - Localized Hebrew Training,"Manado, Indonesia (Implementing partners GMIM & PPA). GMIM is a Church movement of 1 million members; PPA is the translation arm of the movement working among numerous language groups. They have over 100 translators working with them. Seed Company has partnered with GMIM/PPA to provide consultant training. The first two Instructors-in-Training are scheduled to arrive in Jerusalem in September 2024 to begin 2 years of training. Our aim is for 2 more instructors and 3 mentors to come to Jerusalem in September 2025 to begin their training. In the meantime, several of PPA translators are taking the online HELP course. The projection is to run the local training program in 2026.",2025-12-31,Organizational Development,B-000003402,a0xUq000000WXTt,250000.0
United Bible Societies,006Uq00000BAWzcIAH,UBS 2025 iN Undesignated Funding,,,,,,272502.34
Biblica,006Uq00000BAV7TIAX,2025 Biblica - iN Undesignated Funding,,,,,,277992.63
unfoldingWord,006Uq00000BES1JIAX,2025 unfoldingWord - Translation,,,,,,395312.52
Wycliffe USA,006Uq00000BEJNqIAP,WBT-US 2025 iN Undesignated Funding,,,,,,412542.06
SIL International,006Uq00000BAdGHIA1,SIL 2025 iN Undesignated Funding,,,,,,427422.99
SIL International,006Uq0000091lXZIAY,Paratext,"Paratext 9.5 will be released. We will release a set of testing reports to validate alpha 0.5 of Platform.Bible. We will release Paratext 10 Studio beta 2. This release will be dependent upon Platform.Bible 0.5. Release new DBL API Finish preparing our technical framework for use for the Paratext Registry 2.0 server, database and application architecture",2025-03-31,Translation Tool,B-000003165,a0xUq000000W9WP,454545.45
OBT Affinity Table,006Uq0000094FeQIAU,2025 OBT Affinity Table Organizational Development Capacity,1 (maybe 2) Global Gatherings in Africa and/or Asia,2025-07-31,Organizational Development,B-000003363,a0xUq000000WPOH,475000.0
The Word for the World,006Uq00000BAZEKIA5,2025 TWFTW - Translation,,,,,,537757.98
"The Wycliffe Seed Company, Inc.",006Uq00000BAPZvIAP,2025 Seed Company - iN Undesignated Funding,,,,,,579784.81
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,DBL Next Launch End of Q1 ? Partner Readiness: tight coordination with integration and publishing partners to support changes needed to access DBL Next APIs and systems,2025-03-31,Translation Tool,B-000003264,a0xUq000000WJp7,625000.0
United Bible Societies,006Uq00000BAbeJIAT,2025 United Bible Societies - Translation,,,,,,712954.02
Biblica,006Uq00000BATTqIAP,2025 Biblica -  Translation,,,,,,727350.0
Wycliffe USA,006Uq00000BET5RIAX,2025 Wycliffe USA - Translation,,,,,,1079421.0
SIL International,006Uq00000BAdMjIAL,2025 SIL - Translation,,,,,,1118568.48
OBT Affinity Table,006Uq0000094FeQIAU,2025 OBT Affinity Table Translation,,,,,,1250000.0
"The Wycliffe Seed Company, Inc.",006Uq00000BAWpuIAH,2025 Seed Company - Translation,,,,,,1516969.98
Biblica,006Uq0000092EphIAE,illumiNations 12 Verse Challenge,Partner with 2 new community influencers to be the voice of the brand and improve overall cultivation and messaging engagement surpassing industry benchmarks for CTRs /  Unsubscribes / Retention.,2025-03-31,Organizational Development,B-000003179,a0xUq000000WAQs,3500000.0
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,Workgroups collaboration - FSWG representatives will meet with representatives of each of the other 2 workgroups at least every other month to increase information sharing and collaboration.,2025-12-31,Organizational Development,B-000003202,a0xUq000000WFFF,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,"Pace data gathering - Send a FSWG representative to each of 3 regional gatherings (Americas, Europe and Africa) to collect and report pace data.",2025-12-31,Organizational Development,B-000003203,a0xUq000000WFGr,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,"Training of pace support people - FSWG will select 1 person from each of the 4 regions (Americas, Europe, Asia and Africa) to be trained to gather pace data in their region and support teams in pace conversations. Send trainees to a regional gathering along with an already trained person for training purposes.",2025-12-31,Organizational Development,B-000003204,a0xUq000000WFIT,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,TNT Consultants Sub-workgroup - Set up an important meeting (in-person; 12 people) of key decision makers and sub-workgroup members to align the work of this subworkgroup to help accelerate pace towards ETEN AAGs.,2025-06-30,Organizational Development,B-000003205,a0xUq000000WFK5,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,"TNT Training Sub-workgroup - Support an online training platform (platform to be chosen by end of September 2024) similar to Bible Aquifer to increase collaboration, partnerships, and support among partnering organizations.",2025-12-31,Organizational Development,B-000003206,a0xUq000000WFLh,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,TNT Training Sub-workgroup - Identify and develop resources in the following areas to help accelerate sign language Bible translation projects and to strengthen the quality and usefulness of each translated product: Exegesis training (American Sign Language/International Sign) Scripture Engagement Training (American Sign Language/International Sign),2025-12-31,Organizational Development,B-000003207,a0xUq000000WFNJ,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,"TNT Technology Sub-workgroup - Gather monthly discussing development Ai plans with SIL, Avodah and other organizations that will increase information sharing and accelerate the pace and quality of the sign language translations.",2025-12-31,Organizational Development,B-000003208,a0xUq000000WFS9,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,"Provide Deaf culture and sign language training for ETEN - one 3-day training in America by mid-year, one 3-hour training in America by end of year and one 3-day training in another country by end of the year.",2025-12-31,Organizational Development,B-000003209,a0xUq000000WFTl,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,55 Table Admin Team Annual In-Person Meeting,2025-12-31,Organizational Development,B-000003210,a0xUq000000WFVN,
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,2025 ETEN Summit - scholarship assistance for those with financial need to attend and participate in Summit,2025-12-31,Organizational Development,B-000003211,a0xUq000000WFWz,
Biblica,006Uq0000092EphIAE,illumiNations 12 Verse Challenge,Launch church mobilization strategy with alliance agencies in early 2025 to get 200 Bible Translation Sunday?s scheduled and bring in 2000 recurring givers.,2025-06-30,Organizational Development,B-000003180,a0xUq000000WAib,
Biblica,006Uq0000092EphIAE,illumiNations 12 Verse Challenge,"Receive $1M total revenue from prospect cultivation, influencer giving, and church mobilization efforts.",2025-09-30,Organizational Development,B-000003181,a0xUq000000WAkD,
Biblica,006Uq0000092EphIAE,illumiNations 12 Verse Challenge,Acquire 20K new givers from our acquisition efforts.,2025-12-31,Organizational Development,B-000003182,a0xUq000000WAlp,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal","Milestone 2: Community Social Presence Due Date: Q2 Description: Integrated portal provides translation teams and new communities opportunity to be discovered, reach, and connect with local Deaf individuals. Through creation of profiles and pages similar to Facebook pages.",2025-06-30,Translation Tool,B-000003319,a0xUq000000WNHd,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal",Milestone 3 : Community Engagements & Notifications Due Date: Q3 Description: Connected omni-channel system that enables Deaf pastors and translation leaders to send mass messages and notifications. Leaders maximize and streamline their ability to reach larger Deaf audiences further and consistently easily.,2025-09-30,Translation Tool,B-000003321,a0xUq000000WNMT,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal","Milestone 4: Network Catalyst & Leaders Collaboration Due Date: Q4 Description: Community Learning and community networking amongst project leaders, Deaf pastors and community members. Easily find, connect, and collaborate across existing projects and communities. Enables cross-collaboration and catalytic collaboration across existing and new communities?high targets on emerging projects in ready state and languages in India and China.",2025-12-31,Translation Tool,B-000003326,a0xUq000000WNUX,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal",Milestone 5: Technical A.I. Enhancements Due Date: Q4 Description: External AI access to partners via API and dedicated interfaces. Our existing AI capabilities have demonstrated internal boosts in productivity regarding project management. These technical enhancements extend that productivity into the workflows of partners and local translation teams.,2025-12-31,Translation Tool,B-000003329,a0xUq000000WNZN,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal",Milestone: Community Events Due Date: Q4 Description: Platform-enabled creation and management of Deaf community and Sign Language translation events. A cohesive view and management of events happening across countries and communities. Technical view of activities and collaborative gatherings worldwide?all centered around Scripture translation and Scripture engagement.,2025-12-31,Translation Tool,B-000003331,a0xUq000000WNeD,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal",Milestone 7: Tool - Real-time Multi-Language Transcription Due Date: Q4 Description: Technical tool that enables better and faster communication across Deaf participants across individuals and other languages. Increase accessibility and improves communication and collaboration when attending multi-lingual events. Opens and unlocks the opportunity for collaboration and communication across broader communities and peoples.,2025-12-31,Translation Tool,B-000003333,a0xUq000000WNj3,
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal",Milestone 8: Additional Milestone provided from another income source that will also be reported on for transparency and a broader understanding of the full field impact and functionality.,2025-12-31,Translation Tool,B-000003335,a0xUq000000WNmH,
"Deaf Bible Society, Inc.",006Uq0000093TYCIA2,"Global Sign Language Interpreter Workforce_Deaf Bible Society, Inc. Organizational Development Investment Proposals","Digital Training Videos: By the end of Q1, all current and new interpreters will gain access to digital training videos that were developed and deployed in 2024. Topics include: Bible Translation Processes: Common Framework: ETEN Bible Translation Organizations: International Sign Seminar: ole of Bible Translation Consultant: Sign Language Organizations: Translation Resource Development: With these digital training videos, the above trainings qualify for US accreditation for Continuing Education under the Registry of Interpreters for the Deaf, which is required to maintain active interpreter certification. The trainings also ensure that interpreters have context, which is essential for clear communication between participants in any interpretive situation. The goal is that our trained ASL / IS interpreters are able to gain and share knowledge that is specialized to the Bible translation movement. In-Person Training: An in-person training will be held in 2025 specifically positioned to grow our international interpreters (new or current who are actively serving Bible translation projects). This training will focus on providing interpreters with the necessary skills to offer language access for exegetical and linguistic support and quality assurance processes with aim to communicate effectively in International Sign / Visual Vernacular when working across various languages and cultures.",2025-12-31,Organizational Development,B-000003307,a0xUq000000WLxN,
"Deaf Bible Society, Inc.",006Uq0000093TYCIA2,"Global Sign Language Interpreter Workforce_Deaf Bible Society, Inc. Organizational Development Investment Proposals","ASL and International Interpretation and Production of Resouces: The IW will ensure the capacity of 200 hours to interpret resources for Bible translation to be captured by video. These may include ETEN resources, exegetical resources, or other translation-related resources, as well as various types of communications, such as email correspondence between Deaf/hearing ETEN partners. Video production services will complement the interpretive services.",2025-12-31,Organizational Development,B-000003308,a0xUq000000WLyz,
"Deaf Bible Society, Inc.",006Uq0000093TYCIA2,"Global Sign Language Interpreter Workforce_Deaf Bible Society, Inc. Organizational Development Investment Proposals","Collective Benefit: In 2025, the IW will provide interpreting services for all downstream partners. Complimentary interpreting hours will be provided for ETEN implementing partners. Affinity tables will be based on a limited bank from which they can pull, with the expectation to pay for services thereafter. To determine if their complimentary hours qualify, the IW has categorized when and how interpreting hours are eligible under complimentary hours or for cost-sharing options. They are as follows:",2025-12-31,Organizational Development,B-000003309,a0xUq000000WM3p,
"Deaf Bible Society, Inc.",006Uq0000093TYCIA2,"Global Sign Language Interpreter Workforce_Deaf Bible Society, Inc. Organizational Development Investment Proposals","Collective Benefit: Activity 1: Translation and Training Priority & Impact: Frontline teamwork and training to accelerate the number of verses translated and accessible Activity Examples: Community surveys and mobilization, Translation team activities, Training videos and events, Consultant checking and Scripture distribution Interpreter Workforce Program Services: The following services are 100% grant-funded for collective benefit through the Interpreter Workforce, Workforce recruiting, contracting, onboarding, and compensation management, including an annual Sign Language Interpreter Agreement with Deaf Bible Society Annual verification of credentials for associate and certified members of the Registry of Interpreters for the Deaf (RID) Professional training that integrates principles and practices of Bible translation Interpreters knowledgeable of the Bible translation movement and associated partners/organizations Interpretation in American Sign Language and International Sign, plus a global network to access other sign languages Online request and scheduling system Central point of contact for staffing events that require multiple interpreters and/or languages Assurance of interpreter quality standards and feedback when improvement is needed Cost Sharing for Interpreter Hours: A specified number of grant-funded hours reserved for each partner organization that has a relationship with the Interpreter Workforce Additional hours paid by each organizatio",2025-12-31,Organizational Development,B-000003310,a0xUq000000WM8f,
"Deaf Bible Society, Inc.",006Uq0000093TYCIA2,"Global Sign Language Interpreter Workforce_Deaf Bible Society, Inc. Organizational Development Investment Proposals","Activity2: Collaboration & Innovation Priority & Impact: Meetings to align strategies, develop plans, and share information for Bible translation Activity Examples: ETEN Post-Steering Committee, ETEN 55 Table leadership and work groups, ETEN Partner meetings re: AAG strategy, acceleration, etc. Interpreter Workforce Program Services: The following services are 100% grant-funded for collective benefit through the Interpreter Workforce, Workforce recruiting, contracting, onboarding, and compensation management, including an annual Sign Language Interpreter Agreement with Deaf Bible Society Annual verification of credentials for associate and certified members of the Registry of Interpreters for the Deaf (RID) Professional training that integrates principles and practices of Bible translation Interpreters knowledgeable of the Bible translation movement and associated partners/organizations Interpretation in American Sign Language and International Sign, plus a global network to access other sign languages Online request and scheduling system Central point of contact for staffing events that require multiple interpreters and/or languages Assurance of interpreter quality standards and feedback when improvement is needed Cost Sharing for Interpreter Hours: A specified number of grant-funded hours reserved for each partner organization that has a relationship with the Interpreter Workforce. Additional hours paid by each organization, $40?$70/hour",2025-12-31,Organizational Development,B-000003311,a0xUq000000WMAH,
